datetime,NASA,NOAA,MET,CandW,BE
1967-06-30,14.13877499999999,14.123297499999993,14.191686111111109,,14.161833333333332
1968-06-29,14.173774999999992,14.131630833333327,14.186269444444443,,14.204166666666664
1969-06-30,14.11794166666666,14.108297499999992,14.14693611111111,,14.140666666666666
1970-06-30,14.251274999999993,14.239964166666661,14.292352777777777,,14.28425
1971-06-30,14.221274999999991,14.191630833333328,14.23326944444444,,14.219999999999999
1972-06-29,14.112941666666659,14.069130833333327,14.074352777777776,,14.097833333333329
1973-06-30,14.204608333333326,14.173297499999991,14.194102777777777,,14.188416666666663
1974-06-30,14.358774999999993,14.326630833333327,14.322769444444445,,14.305166666666665
1975-06-30,14.127108333333325,14.072464166666661,14.047102777777775,,14.088583333333332
1976-06-29,14.182108333333325,14.145797499999995,14.111519444444442,,14.143749999999997
1977-06-30,14.097941666666658,14.065797499999993,14.018769444444445,,14.03575
1978-06-30,14.375441666666658,14.347464166666661,14.307352777777774,,14.333666666666666
1979-06-30,14.26544166666666,14.249130833333325,14.198602777777774,,14.20708333333333
1980-06-29,14.36127499999999,14.359964166666659,14.317686111111108,,14.294666666666666
1981-06-30,14.453774999999993,14.412464166666659,14.35268611111111,,14.412833333333332
1982-06-30,14.517941666666658,14.456630833333326,14.40018611111111,,14.461
1983-06-30,14.334608333333327,14.325797499999998,14.27218611111111,,14.242916666666668
1984-06-29,14.507108333333328,14.492464166666663,14.454352777777776,,14.435083333333331
1985-06-30,14.352108333333325,14.300797499999994,14.24618611111111,,14.269416666666663
1986-06-30,14.312108333333326,14.291630833333327,14.230436111111109,,14.256333333333332
1987-06-30,14.377941666666658,14.370797499999995,14.305352777777776,,14.311166666666667
1988-06-29,14.515441666666655,14.516630833333325,14.452686111111111,,14.444583333333334
1989-06-30,14.579608333333326,14.526630833333328,14.458936111111113,,14.489333333333335
1990-06-30,14.46794166666666,14.426630833333327,14.378436111111107,,14.372499999999997
1991-06-30,14.644608333333325,14.583297499999993,14.557269444444442,,14.564416666666666
1992-06-29,14.600441666666656,14.523297499999993,14.514852777777778,,14.547166666666664
1993-06-30,14.41544166666666,14.370797499999993,14.365352777777778,,14.360750000000001
1994-06-30,14.42794166666666,14.413297499999993,14.409186111111111,,14.3925
1995-06-30,14.510441666666658,14.476630833333326,14.46968611111111,,14.443499999999998
1996-06-29,14.642941666666657,14.60163083333333,14.58543611111111,,14.587833333333334
1997-06-30,14.523774999999993,14.458297499999993,14.442686111111108,,14.49
1998-06-30,14.662941666666656,14.649130833333325,14.650686111111108,,14.633416666666667
1999-06-30,14.808774999999992,14.786630833333325,14.800186111111115,,14.785416666666668
2000-06-29,14.58127499999999,14.573297499999994,14.567186111111107,,14.5505
2001-06-30,14.590441666666658,14.559964166666658,14.556186111111108,,14.563416666666663
2002-06-30,14.737108333333326,14.703297499999993,14.702102777777776,,14.705083333333334
2003-06-30,14.822108333333325,14.754964166666658,14.757769444444442,,14.783166666666666
2004-06-29,14.817941666666657,14.773297499999993,14.767852777777776,,14.7675
2005-06-30,14.73710833333333,14.717464166666659,14.70826944444444,,14.670583333333333
2006-06-30,14.87877499999999,14.799964166666662,14.806352777777777,,14.85225
2007-06-30,14.837108333333328,14.77246416666666,14.766019444444444,,14.804166666666665
2008-06-29,14.85794166666666,14.754130833333328,14.751936111111108,,14.813166666666666
2009-06-30,14.737941666666657,14.678297499999992,14.655352777777779,,14.679083333333333
2010-06-30,14.854608333333326,14.779964166666659,14.765436111111109,,14.812833333333336
2011-06-30,14.921274999999994,14.858297499999994,14.820686111111108,,14.885166666666665
2012-06-29,14.804608333333322,14.710797499999991,14.685102777777777,,14.769333333333336
2013-06-30,14.840441666666658,14.771630833333324,14.731102777777773,,14.781666666666665
2014-06-30,14.88127499999999,14.80746416666666,14.775186111111111,,14.807999999999998
2015-06-30,14.93877499999999,14.870797499999993,14.840352777777776,,14.872416666666666
2016-06-29,15.095441666666659,15.06246416666666,15.024519444444444,,15.010583333333335
2017-06-30,15.210441666666656,15.125797499999992,15.058019444444442,,15.148166666666667
2018-06-30,15.119608333333323,15.039130833333324,14.93868611111111,,15.032583333333333
2019-06-30,15.044608333333324,14.958297499999992,14.857602777777776,,14.966499999999998
2020-06-29,15.168926515151508,15.070645984848476,14.98363308080808,,15.14425
